fb_str;city;postcode;Number_of_students;faculty_plz
Fakultät für Humanwissenschaften;Erlangen;91054;7;97074
Fakultät für Humanwissenschaften;Erlangen;91056;3;97074
Fakultät für Humanwissenschaften;Erlenbach a. Main;63906;4;97074
Fakultät für Humanwissenschaften;Essen;Undefined;5;97074
Fakultät für Humanwissenschaften;Essingen;73457;4;97074
Fakultät für Humanwissenschaften;Esslingen;Undefined;3;97074
Fakultät für Humanwissenschaften;Estenfeld;97230;23;97074
Fakultät für Humanwissenschaften;Ettleben;97440;4;97074
Fakultät für Humanwissenschaften;Euerbach;97502;3;97074
Fakultät für Humanwissenschaften;Eußenheim;97776;3;97074
Fakultät für Humanwissenschaften;Feuchtwangen;91555;11;97074
Fakultät für Humanwissenschaften;Flieden;36103;5;97074
Fakultät für Humanwissenschaften;Forchheim;91301;3;97074
Fakultät für Humanwissenschaften;Frammersbach;97833;7;97074
Fakultät für Humanwissenschaften;Frankenwinheim;97447;3;97074
Fakultät für Humanwissenschaften;Frankfurt;Undefined;4;97074
Fakultät für Humanwissenschaften;Frankfurt am Main;Undefined;9;97074
Fakultät für Humanwissenschaften;Freiburg;Undefined;3;97074
Fakultät für Humanwissenschaften;Freiburg im Breisgau;Undefined;3;97074
Fakultät für Humanwissenschaften;Freising;Undefined;3;97074
Fakultät für Humanwissenschaften;Fuchsstadt;97727;4;97074
Fakultät für Humanwissenschaften;Fulda;36041;6;97074
Fakultät für Humanwissenschaften;Fulda;36043;4;97074
Fakultät für Humanwissenschaften;Fulda;Undefined;4;97074
Fakultät für Humanwissenschaften;Fürth;90765;5;97074
Fakultät für Humanwissenschaften;Fürth;90766;4;97074
Fakultät für Humanwissenschaften;Fürth;90768;4;97074
Fakultät für Humanwissenschaften;Fürth;Undefined;3;97074
Fakultät für Humanwissenschaften;Gaildorf;74405;4;97074
Fakultät für Humanwissenschaften;Gaimersheim;85080;4;97074
Fakultät für Humanwissenschaften;Garmisch-Partenkirchen;82467;3;97074
Fakultät für Humanwissenschaften;Geldersheim;97505;3;97074
Fakultät für Humanwissenschaften;Gemünden;97737;8;97074
Fakultät für Humanwissenschaften;Gemünden am Main;97737;6;97074
Fakultät für Humanwissenschaften;Gerbrunn;97218;52;97074
Fakultät für Humanwissenschaften;Geroldshausen;97256;5;97074
Fakultät für Humanwissenschaften;Gerolzhofen;97447;9;97074
Fakultät für Humanwissenschaften;Giebelstadt;97232;12;97074
Fakultät für Humanwissenschaften;Gießen;Undefined;4;97074
Fakultät für Humanwissenschaften;Gochsheim;97469;6;97074
Fakultät für Humanwissenschaften;Goldbach;63773;4;97074
Fakultät für Humanwissenschaften;Grafenrheinfeld;97506;5;97074
Fakultät für Humanwissenschaften;Grettstadt;97508;5;97074
Fakultät für Humanwissenschaften;Großostheim;63762;6;97074
Fakultät für Humanwissenschaften;Grünsfeld;97947;6;97074
Fakultät für Humanwissenschaften;Gundelsheim;74831;3;97074
Fakultät für Humanwissenschaften;Gunzenhausen;91710;6;97074
Fakultät für Humanwissenschaften;Gädheim;97503;3;97074
Fakultät für Humanwissenschaften;Göttingen;37075;3;97074
Fakultät für Humanwissenschaften;Göttingen;Undefined;3;97074
Fakultät für Humanwissenschaften;Güntersleben;97261;8;97074
Fakultät für Humanwissenschaften;Haibach;63808;5;97074
Fakultät für Humanwissenschaften;Hambach;97456;3;97074
Fakultät für Humanwissenschaften;Hamburg;Undefined;18;97074
Fakultät für Humanwissenschaften;Hammelburg;97762;10;97074
Fakultät für Humanwissenschaften;Hanau;63454;5;97074
Fakultät für Humanwissenschaften;Hanau;Undefined;3;97074
Fakultät für Humanwissenschaften;Hannover;Undefined;6;97074
Fakultät für Humanwissenschaften;Hardheim;74736;4;97074
Fakultät für Humanwissenschaften;Haßfurt;97437;8;97074
Fakultät für Humanwissenschaften;Hechingen;72379;3;97074
Fakultät für Humanwissenschaften;Heidelberg;69126;3;97074
Fakultät für Humanwissenschaften;Heidelberg;Undefined;9;97074
Fakultät für Humanwissenschaften;Heilbronn;74074;4;97074
Fakultät für Humanwissenschaften;Heilbronn;74078;4;97074
Fakultät für Humanwissenschaften;Heilsbronn;91560;4;97074
Fakultät für Humanwissenschaften;Helmstadt;97264;4;97074
Fakultät für Humanwissenschaften;Herbrechtingen;89542;3;97074
Fakultät für Humanwissenschaften;Herrieden;91567;7;97074
Fakultät für Humanwissenschaften;Hettstadt;97265;6;97074
Fakultät für Humanwissenschaften;Hilpoltstein;91161;5;97074
Fakultät für Humanwissenschaften;Himmelstadt;97267;4;97074
Fakultät für Humanwissenschaften;Hirschaid;96114;3;97074
Fakultät für Humanwissenschaften;Hof;95028;3;97074
Fakultät für Humanwissenschaften;Hof;Undefined;3;97074
Fakultät für Humanwissenschaften;Hofbieber;36145;4;97074
Fakultät für Humanwissenschaften;Hofheim;65719;3;97074
Fakultät für Humanwissenschaften;Höchberg;97204;38;97074
Fakultät für Humanwissenschaften;Höchstadt;91315;5;97074
Fakultät für Humanwissenschaften;Hösbach;63768;16;97074
Fakultät für Humanwissenschaften;Hünfeld;36088;3;97074
Fakultät für Humanwissenschaften;Idstein;65510;4;97074
Fakultät für Humanwissenschaften;Igersheim;97999;4;97074
Fakultät für Humanwissenschaften;Ingolstadt;85049;3;97074
Fakultät für Humanwissenschaften;Ingolstadt;85051;5;97074
Fakultät für Humanwissenschaften;Ingolstadt;85053;4;97074
Fakultät für Humanwissenschaften;Jagstzell;73489;3;97074
Fakultät für Humanwissenschaften;Johannesberg;63867;4;97074
Fakultät für Humanwissenschaften;Kano;Undefined;7;97074
Fakultät für Humanwissenschaften;Karbach;97842;4;97074
Fakultät für Humanwissenschaften;Karlsruhe;Undefined;6;97074
Fakultät für Humanwissenschaften;Karlstadt;97753;21;97074
Fakultät für Humanwissenschaften;Kassel;Undefined;7;97074
Fakultät für Humanwissenschaften;Kaufering;86916;3;97074
Fakultät für Humanwissenschaften;Kempten;87435;4;97074
Fakultät für Humanwissenschaften;Kempten;87439;3;97074
Fakultät für Humanwissenschaften;Kirchheim;97268;5;97074
Fakultät für Humanwissenschaften;Kirchheim;Undefined;3;97074
Fakultät für Humanwissenschaften;Kist;97270;4;97074
Fakultät für Humanwissenschaften;Kitzingen;97318;30;97074
Fakultät für Humanwissenschaften;Kleinlangheim;97355;4;97074
Fakultät für Humanwissenschaften;Kleinostheim;63801;4;97074
Fakultät für Humanwissenschaften;Kleinrinderfeld;97271;5;97074
Fakultät für Humanwissenschaften;Kleinwallstadt;63839;3;97074
Fakultät für Humanwissenschaften;Konstanz;Undefined;3;97074
Fakultät für Humanwissenschaften;Krefeld;Undefined;5;97074
Fakultät für Humanwissenschaften;Kreuzwertheim;97892;3;97074
Fakultät für Humanwissenschaften;Krumbach;86381;3;97074
Fakultät für Humanwissenschaften;Kulmbach;95326;5;97074
Fakultät für Humanwissenschaften;Köln;Undefined;11;97074
Fakultät für Humanwissenschaften;Königsbrunn;86343;3;97074
Fakultät für Humanwissenschaften;Külsheim;97900;4;97074
Fakultät für Humanwissenschaften;Künzell;36093;3;97074
Fakultät für Humanwissenschaften;Kürnach;97273;26;97074
Fakultät für Humanwissenschaften;Landsberg;86899;3;97074
Fakultät für Humanwissenschaften;Landshut;84034;4;97074
Fakultät für Humanwissenschaften;Landshut;Undefined;3;97074
Fakultät für Humanwissenschaften;Langenzenn;90579;3;97074
Fakultät für Humanwissenschaften;Langfurth;91731;4;97074
Fakultät für Humanwissenschaften;Lappersdorf;93138;5;97074
Fakultät für Humanwissenschaften;Lauda-Königshofen;97922;9;97074
Fakultät für Humanwissenschaften;Laufach;63846;3;97074
Fakultät für Humanwissenschaften;Leidersbach;63849;3;97074
Fakultät für Humanwissenschaften;Leinach;97274;3;97074
Fakultät für Humanwissenschaften;Leipzig;Undefined;4;97074
Fakultät für Humanwissenschaften;Leonberg;71229;3;97074
Fakultät für Humanwissenschaften;Leutershausen;91578;5;97074
Fakultät für Humanwissenschaften;Leutkirch;88299;5;97074
Fakultät für Humanwissenschaften;Lichtenfels;96215;8;97074
Fakultät für Humanwissenschaften;Lohr;97816;3;97074
Fakultät für Humanwissenschaften;Lohr a. Main;97816;4;97074
Fakultät für Humanwissenschaften;Lohr am Main;97816;10;97074
Fakultät für Humanwissenschaften;Löwenstein;74245;3;97074
Fakultät für Humanwissenschaften;Lützelbach;64750;4;97074
Fakultät für Humanwissenschaften;Mainaschaff;63814;4;97074
Fakultät für Humanwissenschaften;Mainbernheim;97350;3;97074
Fakultät für Humanwissenschaften;Maintal;63477;4;97074
Fakultät für Humanwissenschaften;Mainz;Undefined;9;97074
Fakultät für Humanwissenschaften;Manching;85077;3;97074
Fakultät für Humanwissenschaften;Marburg;Undefined;4;97074
Fakultät für Humanwissenschaften;Margetshöchheim;97276;9;97074
Fakultät für Humanwissenschaften;Marktbreit;97340;5;97074
Fakultät für Humanwissenschaften;Marktheidenfeld;97828;13;97074
Fakultät für Humanwissenschaften;Marktoberdorf;87616;5;97074
Fakultät für Humanwissenschaften;Marktredwitz;95615;3;97074
Fakultät für Humanwissenschaften;Marktsteft;97342;3;97074
Fakultät für Humanwissenschaften;Martinsheim;97340;3;97074
Fakultät für Humanwissenschaften;Meiningen;98617;3;97074
Fakultät für Humanwissenschaften;Memmingen;87700;9;97074
Fakultät für Humanwissenschaften;Metten;94526;3;97074
Fakultät für Humanwissenschaften;Miltenberg;63897;5;97074
Fakultät für Humanwissenschaften;Mosbach;74821;5;97074
Fakultät für Humanwissenschaften;Mutlangen;73557;3;97074
Fakultät für Humanwissenschaften;Mömbris;63776;5;97074
Fakultät für Humanwissenschaften;München;81245;3;97074
Fakultät für Humanwissenschaften;München;81377;3;97074
Fakultät für Humanwissenschaften;München;81541;3;97074
Fakultät für Humanwissenschaften;München;81545;3;97074
Fakultät für Humanwissenschaften;München;81825;3;97074
Fakultät für Humanwissenschaften;München;81827;3;97074
Fakultät für Humanwissenschaften;München;Undefined;25;97074
Fakultät für Humanwissenschaften;Münnerstadt;97702;7;97074
Fakultät für Humanwissenschaften;Münster;Undefined;7;97074
Fakultät für Humanwissenschaften;Neckargemünd;69151;3;97074
Fakultät für Humanwissenschaften;Neckarsulm;74172;5;97074
Fakultät für Humanwissenschaften;Neresheim;73450;3;97074
Fakultät für Humanwissenschaften;Neuendettelsau;91564;7;97074
Fakultät für Humanwissenschaften;Neuenstadt;74196;3;97074
Fakultät für Humanwissenschaften;Neumarkt;92318;4;97074
Fakultät für Humanwissenschaften;Neunkirchen;Undefined;3;97074
Fakultät für Humanwissenschaften;Neunkirchen am Brand;91077;5;97074
Fakultät für Humanwissenschaften;Neustadt;Undefined;3;97074
Fakultät für Humanwissenschaften;Neustadt an der Aisch;91413;4;97074
Fakultät für Humanwissenschaften;Neusäß;86356;6;97074
Fakultät für Humanwissenschaften;Niederlauer;97618;3;97074
Fakultät für Humanwissenschaften;Niederstetten;97996;3;97074
Fakultät für Humanwissenschaften;Niederwerrn;97464;9;97074
Fakultät für Humanwissenschaften;Nördlingen;86720;7;97074
Fakultät für Humanwissenschaften;Nüdlingen;97720;10;97074
Fakultät für Humanwissenschaften;Nürnberg;90409;4;97074
Fakultät für Humanwissenschaften;Nürnberg;90411;5;97074
Fakultät für Humanwissenschaften;Nürnberg;90425;3;97074
Fakultät für Humanwissenschaften;Nürnberg;90431;3;97074
Fakultät für Humanwissenschaften;Nürnberg;90453;3;97074
Fakultät für Humanwissenschaften;Nürnberg;90455;4;97074
Fakultät für Humanwissenschaften;Nürnberg;90469;3;97074
Fakultät für Humanwissenschaften;Nürnberg;90482;4;97074
